Year of Film Release,Film,Film Studio/Producer(s),is_winner,clean_name
1939 (12th),The Wizard of Oz,Metro-Goldwyn-Mayer,False,the-wizard-of-oz-1939
1939 (12th),Wuthering Heights,Samuel Goldwyn Productions,False,wuthering-heights-1939
1940 (13th),Rebecca,"Selznick International Pictures (David O. Selznick, producer)",True,rebecca-1940
1940 (13th),"All This, and Heaven Too",Warner Bros.,False,all-this-and-heaven-too-1940
1940 (13th),Foreign Correspondent,Walter Wanger (production company),False,foreign-correspondent-1940
1940 (13th),The Grapes of Wrath,20th Century-Fox,False,the-grapes-of-wrath-1940
1940 (13th),The Great Dictator,Charles Chaplin Productions,False,the-great-dictator-1940
1940 (13th),Kitty Foyle,RKO Radio,False,kitty-foyle-1940
1940 (13th),The Letter,Warner Bros.,False,the-letter-1940
1940 (13th),The Long Voyage Home,Argosy-Wanger,False,the-long-voyage-home-1940
1940 (13th),Our Town,Sol Lesser (production company),False,our-town-1940
1940 (13th),The Philadelphia Story,Metro-Goldwyn-Mayer,False,the-philadelphia-story-1940
1941 (14th),How Green Was My Valley,"20th Century-Fox (Darryl F. Zanuck, producer)",True,how-green-was-my-valley-1941
1941 (14th),Blossoms in the Dust,Metro-Goldwyn-Mayer,False,blossoms-in-the-dust-1941
1941 (14th),Citizen Kane,Mercury,False,citizen-kane-1941
1941 (14th),Here Comes Mr. Jordan,Columbia,False,here-comes-mr-jordan-1941
1941 (14th),Hold Back the Dawn,Paramount,False,hold-back-the-dawn-1941
1941 (14th),The Little Foxes,"Samuel Goldwyn Productions (Samuel Goldwyn, producer)",False,the-little-foxes-1941
1941 (14th),The Maltese Falcon,Warner Bros.,False,the-maltese-falcon-1941
1941 (14th),One Foot in Heaven,Warner Bros.,False,one-foot-in-heaven-1941
1941 (14th),Sergeant York,Warner Bros.,False,sergeant-york-1941
1941 (14th),Suspicion,RKO Radio,False,suspicion-1941
1942 (15th),Mrs. Miniver,"Metro-Goldwyn-Mayer (Sidney Franklin, producer)",True,mrs-miniver-1942
1942 (15th),49th Parallel,Ortus,False,49th-parallel-1942
1942 (15th),Kings Row,Warner Bros.,False,kings-row-1942
1942 (15th),The Magnificent Ambersons,Mercury,False,the-magnificent-ambersons-1942
1942 (15th),The Pied Piper,20th Century-Fox,False,the-pied-piper-1942
1942 (15th),The Pride of the Yankees,"Samuel Goldwyn Productions (Samuel Goldwyn, producer)",False,the-pride-of-the-yankees-1942
1942 (15th),Random Harvest,Metro-Goldwyn-Mayer,False,random-harvest-1942
1942 (15th),The Talk of the Town,Columbia,False,the-talk-of-the-town-1942
1942 (15th),Wake Island,Paramount,False,wake-island-1942
1942 (15th),Yankee Doodle Dandy,Warner Bros.,False,yankee-doodle-dandy-1942
1943 (16th),Casablanca,"Warner Bros. (Hal B. Wallis, producer)",True,casablanca-1943
1943 (16th),For Whom the Bell Tolls,Paramount,False,for-whom-the-bell-tolls-1943
1943 (16th),Heaven Can Wait,20th Century-Fox,False,heaven-can-wait-1943
1943 (16th),The Human Comedy,Metro-Goldwyn-Mayer,False,the-human-comedy-1943
1943 (16th),In Which We Serve,Two Cities Films,False,in-which-we-serve-1943
1943 (16th),Madame Curie,Metro-Goldwyn-Mayer,False,madame-curie-1943
