year,Film,url_tried,rating,keywords,stars,user_reviews,critic_reviews,metascore,cast_number,longitud,imdb_url,url_used,found,error
1935.0,Captain Blood,https://letterboxd.com/film/captain-blood-1935,7.7,"['Action Epic', 'Adventure Epic', 'Historical Epic', 'Romantic Epic', 'Sea Adventure', 'Swashbuckler', 'Action', 'Adventure', 'History', 'Romance']",['Errol FlynnOlivia de HavillandLionel Atwill'],170,63.0,89.0,64,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0026174/,https://letterboxd.com/film/captain-blood,True,
1935.0,David Copperfield,https://letterboxd.com/film/david-copperfield-1935,7.3,"['Period Drama', 'Adventure', 'Drama', 'Family', 'Romance']",['Edna May OliverElizabeth AllanJessie Ralph'],61,30.0,91.0,40,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0026266/,https://letterboxd.com/film/david-copperfield-1935,True,
1935.0,The Informer,https://letterboxd.com/film/the-informer-1935,7.3,"['Crime', 'Drama']",['Victor McLaglenHeather AngelPreston Foster'],72,36.0,65.0,40,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0026529/,https://letterboxd.com/film/the-informer,True,
1935.0,The Lives of a Bengal Lancer,https://letterboxd.com/film/the-lives-of-a-bengal-lancer-1935,7.0,"['Adventure', 'Drama', 'War']",['Gary CooperFranchot ToneRichard Cromwell'],43,24.0,,42,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0026643/,https://letterboxd.com/film/the-lives-of-a-bengal-lancer,True,
1935.0,A Midsummer Night's Dream,https://letterboxd.com/film/a-midsummer-nights-dream-1935,6.8,"['Comedy', 'Fantasy', 'Romance']",['Ian HunterVerree TeasdaleHobart Cavanaugh'],74,37.0,,55,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0026714/,https://letterboxd.com/film/a-midsummer-nights-dream,True,
1935.0,Naughty Marietta,https://letterboxd.com/film/naughty-marietta-1935,6.5,"['Drama', 'Musical', 'Romance']",['Jeanette MacDonaldNelson EddyFrank Morgan'],35,11.0,,81,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0026768/,https://letterboxd.com/film/naughty-marietta,True,
1935.0,Ruggles of Red Gap,https://letterboxd.com/film/ruggles-of-red-gap-1935,7.6,"['Screwball Comedy', 'Comedy', 'Mystery', 'Romance', 'Western']",['Charles LaughtonMary BolandCharles Ruggles'],48,35.0,,50,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0026955/,https://letterboxd.com/film/ruggles-of-red-gap,True,
1935.0,Top Hat,https://letterboxd.com/film/top-hat-1935,7.7,"['Classic Musical', 'Comedy', 'Musical', 'Romance']",['Fred AstaireGinger RogersEdward Everett Horton'],158,67.0,93.0,43,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0027125/,https://letterboxd.com/film/top-hat,True,
1936.0,The Great Ziegfeld,https://letterboxd.com/film/the-great-ziegfeld-1936,6.6,"['Classic Musical', 'Drama', 'Musical']",['William PowellMyrna LoyLuise Rainer'],103,50.0,69.0,99+,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0027698/,https://letterboxd.com/film/the-great-ziegfeld,True,
1936.0,Anthony Adverse,https://letterboxd.com/film/anthony-adverse-1936,6.3,"['Adventure', 'Drama', 'Romance']",['Fredric MarchOlivia de HavillandDonald Woods'],44,15.0,,99+,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0027300/,https://letterboxd.com/film/anthony-adverse,True,
1936.0,Dodsworth,https://letterboxd.com/film/dodsworth-1936,7.7,"['Drama', 'Romance']",['Walter HustonRuth ChattertonPaul Lukas'],117,39.0,,43,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0027532/,https://letterboxd.com/film/dodsworth,True,
1936.0,Libeled Lady,https://letterboxd.com/film/libeled-lady-1936,7.8,"['Screwball Comedy', 'Comedy', 'Romance']",['Jean HarlowWilliam PowellMyrna Loy'],86,55.0,,71,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0027884/,https://letterboxd.com/film/libeled-lady,True,
1936.0,Mr. Deeds Goes to Town,https://letterboxd.com/film/mr-deeds-goes-to-town-1936,7.8,"['Romantic Comedy', 'Screwball Comedy', 'Comedy', 'Drama', 'Romance']",['Gary CooperJean ArthurGeorge Bancroft'],164,57.0,,99+,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0027996/,https://letterboxd.com/film/mr-deeds-goes-to-town,True,
1936.0,San Francisco,https://letterboxd.com/film/san-francisco-1936,7.1,"['Drama', 'Music', 'Romance']",['Clark GableJeanette MacDonaldSpencer Tracy'],107,31.0,,99+,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0028216/,https://letterboxd.com/film/san-francisco,True,
1936.0,The Story of Louis Pasteur,https://letterboxd.com/film/the-story-of-louis-pasteur-1936,7.3,"['Medical Drama', 'Political Drama', 'Biography', 'Drama', 'History']",['Paul MuniJosephine HutchinsonAnita Louise'],48,14.0,82.0,59,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0028313/,https://letterboxd.com/film/the-story-of-louis-pasteur,True,
1935.0,A Tale of Two Cities,https://letterboxd.com/film/a-tale-of-two-cities-1936,7.8,"['Period Drama', 'Drama', 'History', 'Romance']",['Ronald ColmanElizabeth AllanEdna May Oliver'],91,18.0,87.0,79,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0027075/,https://letterboxd.com/film/a-tale-of-two-cities,True,
