year,classification_rating,rating,keywords,stars,user_reviews,critic_reviews,metascore,cast_number,budget,revenue,opening_weekend,longitud,imdb_url,Film,url_tried,url_used,found,error,film_key_from_url_tried,film_key_from_url_used,film_key_from_url,film_key_from_name,name_only,film_key
1943.0,,7.0,"['Coming-of-Age', 'Teen Drama', 'Comedy', 'Drama', 'Family', 'Romance', 'War']",['Mickey RooneyFrank MorganJames Craig'],66,23.0,,76,,,,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0036022/,The Human Comedy,https://letterboxd.com/film/the-human-comedy-1943,https://letterboxd.com/film/the-human-comedy,True,,the-human-comedy-1943,the-human-comedy,the-human-comedy-1943,the-human-comedy-1943,the-human-comedy,the-human-comedy-1943
1942.0,,7.2,"['Drama', 'War']",['Noël CowardJohn MillsBernard Miles'],77,38.0,,59,,,,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0034891/,In Which We Serve,https://letterboxd.com/film/in-which-we-serve-1943,https://letterboxd.com/film/in-which-we-serve,True,,in-which-we-serve-1943,in-which-we-serve,in-which-we-serve-1943,in-which-we-serve-1942,in-which-we-serve,in-which-we-serve-1943
1943.0,,7.2,"['Biography', 'Drama', 'Romance']",['Greer GarsonWalter PidgeonHenry Travers'],46,22.0,,59,,,,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0036126/,Madame Curie,https://letterboxd.com/film/madame-curie-1943,https://letterboxd.com/film/madame-curie,True,,madame-curie-1943,madame-curie,madame-curie-1943,madame-curie-1943,madame-curie,madame-curie-1943
1943.0,,7.6,"['Farce', 'Screwball Comedy', 'Comedy']",['Jean ArthurJoel McCreaCharles Coburn'],87,20.0,,63,,,,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0036172/,The More the Merrier,https://letterboxd.com/film/the-more-the-merrier-1943,https://letterboxd.com/film/the-more-the-merrier,True,,the-more-the-merrier-1943,the-more-the-merrier,the-more-the-merrier-1943,the-more-the-merrier-1943,the-more-the-merrier,the-more-the-merrier-1943
1943.0,,8.0,"['Classical Western', 'Drama', 'Western']",['Henry FondaDana AndrewsMary Beth Hughes'],199,77.0,,44,,,,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0036244/,The Ox-Bow Incident,https://letterboxd.com/film/the-ox-bow-incident-1943,https://letterboxd.com/film/the-ox-bow-incident,True,,the-ox-bow-incident-1943,the-ox-bow-incident,the-ox-bow-incident-1943,the-ox-bow-incident-1943,the-ox-bow-incident,the-ox-bow-incident-1943
1943.0,,7.6,"['Biography', 'Drama', 'Mystery']",['William EytheCharles BickfordVincent Price'],106,44.0,,99+,,,,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0036377/,The Song of Bernadette,https://letterboxd.com/film/the-song-of-bernadette-1943,https://letterboxd.com/film/the-song-of-bernadette,True,,the-song-of-bernadette-1943,the-song-of-bernadette,the-song-of-bernadette-1943,the-song-of-bernadette-1943,the-song-of-bernadette,the-song-of-bernadette-1943
1943.0,,7.1,"['Drama', 'Thriller']",['Bette DavisPaul LukasGeraldine Fitzgerald'],78,23.0,68.0,51,,,,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0036515/,Watch on the Rhine,https://letterboxd.com/film/watch-on-the-rhine-1943,https://letterboxd.com/film/watch-on-the-rhine,True,,watch-on-the-rhine-1943,watch-on-the-rhine,watch-on-the-rhine-1943,watch-on-the-rhine-1943,watch-on-the-rhine,watch-on-the-rhine-1943
1944.0,,7.0,"['Coming-of-Age', 'Quirky Comedy', 'Comedy', 'Drama', 'Music']",['Bing CrosbyBarry FitzgeraldFrank McHugh'],99,39.0,90.0,44,,,,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0036872/,Going My Way,https://letterboxd.com/film/going-my-way-1944,https://letterboxd.com/film/going-my-way,True,,going-my-way-1944,going-my-way,going-my-way-1944,going-my-way-1944,going-my-way,going-my-way-1944
1944.0,,8.3,"['Film Noir', 'Hard-boiled Detective', 'Crime', 'Drama', 'Mystery', 'Thriller']",['Fred MacMurrayBarbara StanwyckEdward G. Robinson'],516,148.0,95.0,33,,,,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0036775/,Double Indemnity,https://letterboxd.com/film/double-indemnity-1944,https://letterboxd.com/film/double-indemnity,True,,double-indemnity-1944,double-indemnity,double-indemnity-1944,double-indemnity-1944,double-indemnity,double-indemnity-1944
1944.0,,7.8,"['Dark Romance', 'Psychological Drama', 'Psychological Thriller', 'Suspense Mystery', 'Crime', 'Drama', 'Mystery', 'Romance', 'Thriller']",['Charles BoyerIngrid BergmanJoseph Cotten'],205,94.0,78.0,56,,,,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0036855/,Gaslight,https://letterboxd.com/film/gaslight-1944,https://letterboxd.com/film/gaslight-1944,True,,gaslight-1944,gaslight-1944,gaslight-1944,gaslight-1944,gaslight,gaslight-1944
1944.0,,7.5,"['Drama', 'Romance', 'War']",['Claudette ColbertJennifer JonesJoseph Cotten'],109,28.0,,99+,,,,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0037280/,Since You Went Away,https://letterboxd.com/film/since-you-went-away-1944,https://letterboxd.com/film/since-you-went-away,True,,since-you-went-away-1944,since-you-went-away,since-you-went-away-1944,since-you-went-away-1944,since-you-went-away,since-you-went-away-1944
1944.0,,6.3,"['Political Drama', 'Biography', 'Drama', 'History', 'Music', 'Romance']",['Charles CoburnGeraldine FitzgeraldThomas Mitchell'],51,20.0,,99+,,,,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0037465/,Wilson,https://letterboxd.com/film/wilson-1944,https://letterboxd.com/film/wilson,True,,wilson-1944,wilson,wilson-1944,wilson-1944,wilson,wilson-1944
1945.0,,7.9,"['Film Noir', 'Drama']",['Ray MillandJane WymanPhillip Terry'],202,130.0,,67,,,,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0037884/,The Lost Weekend,https://letterboxd.com/film/the-lost-weekend-1945,https://letterboxd.com/film/the-lost-weekend,True,,the-lost-weekend-1945,the-lost-weekend,the-lost-weekend-1945,the-lost-weekend-1945,the-lost-weekend,the-lost-weekend-1945
1945.0,,7.0,"['Comedy', 'Fantasy', 'Musical']",['Frank SinatraKathryn GraysonGene Kelly'],93,37.0,60.0,95,,,,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0037514/,Anchors Aweigh,https://letterboxd.com/film/anchors-aweigh-1945,https://letterboxd.com/film/anchors-aweigh,True,,anchors-aweigh-1945,anchors-aweigh,anchors-aweigh-1945,anchors-aweigh-1945,anchors-aweigh,anchors-aweigh-1945
1945.0,,7.2,['Drama'],['Bing CrosbyIngrid BergmanHenry Travers'],81,54.0,,31,,,,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0037536/,The Bells of St. Mary's,https://letterboxd.com/film/the-bells-of-st-marys-1945,https://letterboxd.com/film/the-bells-of-st-marys,True,,the-bells-of-st-marys-1945,the-bells-of-st-marys,the-bells-of-st-marys-1945,the-bells-of-st-marys-1945,the-bells-of-st-marys,the-bells-of-st-marys-1945
1945.0,,7.9,"['Film Noir', 'Crime', 'Drama', 'Mystery', 'Romance']",['Joan CrawfordJack CarsonZachary Scott'],436,116.0,88.0,77,,,,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0037913/,Mildred Pierce,https://letterboxd.com/film/mildred-pierce-1945,https://letterboxd.com/film/mildred-pierce,True,,mildred-pierce-1945,mildred-pierce,mildred-pierce-1945,mildred-pierce-1945,mildred-pierce,mildred-pierce-1945
1945.0,,7.5,"['Film Noir', 'Psychological Drama', 'Psychological Thriller', 'Drama', 'Mystery', 'Romance', 'Thriller']",['Ingrid BergmanGregory PeckMichael Chekhov'],240,115.0,78.0,32,,,,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0038109/,Spellbound,https://letterboxd.com/film/spellbound-1945,https://letterboxd.com/film/spellbound,True,,spellbound-1945,spellbound,spellbound-1945,spellbound-1945,spellbound,spellbound-1945
1946.0,,8.1,"['Epic', 'Feel-Good Romance', 'Drama', 'Romance', 'War']",['Myrna LoyFredric MarchDana Andrews'],381,127.0,93.0,99+,,,,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0036868/,The Best Years of Our Lives,https://letterboxd.com/film/the-best-years-of-our-lives-1946,https://letterboxd.com/film/the-best-years-of-our-lives,True,,the-best-years-of-our-lives-1946,the-best-years-of-our-lives,the-best-years-of-our-lives-1946,the-best-years-of-our-lives-1946,the-best-years-of-our-lives,the-best-years-of-our-lives-1946
1989.0,,7.5,"['Epic', 'Historical Epic', 'Period Drama', 'Tragedy', 'War Epic', 'Biography', 'Drama', 'History', 'War']",['Derek JacobiKenneth BranaghSimon Shepherd'],143,50.0,83.0,50,,,,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0097499/,Henry V,https://letterboxd.com/film/henry-v-1946,https://letterboxd.com/film/henry-v,True,,henry-v-1946,henry-v,henry-v-1946,henry-v-1989,henry-v,henry-v-1946
